Description,Comment,Designator,Footprint,Part Number,Alternative Part,Quantity

"Battery","MS621","BAT1","MS621","MS621","","1"
"Piezoelectric Sounders","L-KLS3-SMT-09X1.8","BUZ1","SPKR_PKMCS0909E4000-R1","L-KLS3-SMT-09X1.8","PKLCS1212E40A1-R1","1"
"Capacitor","8pF 50V","C1, C2, C5, C6, C45, C46","C_0603","CC0603DRNPO9BN8R0","","6"
"Capacitor","100nF 16V","C3, C4, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C40, C41, C42, C43, C44","C_0603","CC0603KPX7R9BB104","","17"
"Capacitor","0.1uF","C7, C21, C22, C23, C24, C25, C26, C27, C28","C_0603","CC0603KPX7R9BB104, [NoParam]","","9"
"Capacitor","2.2uF 16V","C8, C9","C_0603","CC0603KRX5R7BB225","","2"
"Tantal Capacitor","10uF 10V","C10","TANTAL_TYPE_A","293D106X9010A2TE3","","1"
"Capacitor","100nF 50V","C29, C30, C31, C32, C33","C_0603","CC0603JPX7R9BB104","","5"
"Capacitor","470pF 16V","C34","C_0603","CC0603KRX7R9BB471","","1"
"Tantal Capacitor","150uF 16V","C35","TANTAL_TYPE_D","T491D157K016AT","","1"
"Tantal Capacitor","47uF 35V","C36","TANTAL_TYPE_X","T491X476K035AT","","1"
"Capacitor","1uF 16V X5R","C37","C_0603","CC0603KRX7R7BB105","","1"
"Capacitor","10nF 16V","C38","C_0603","CC0603JRX7R7BB103","","1"
"Capacitor","1uF 16V","C39","C_0603","CC0603KRX7R7BB105","","1"
"Diode","BAT54","D1","SOT23","BAT54","","1"
"ESD","ESDCAN24-2BLY","D2","SOT23","ESDCAN24-2BLY","","1"
"ESD","SM712-02HTG","D3","SOT23","SM712-02HTG","","1"
"Diode","BZV55C10","D4","SOD80C","BZV55C10","","1"
"Diode","SM5819PL-TP","D5, D6","SOD-123","SM5819PL-TP","","2"
"Typical INFRARED GaAs LED","","D7, D8","LED_1206","KP-3216SGD","","2"
"Inductor","CD54NP-221KC","L1","CD54NP","CD54NP-221KC","","1"
"30V P-Channel  MOSFET","IRF7205","Q1","SO-8_M","IRF7205","","1"
"Dual N-ch Mosfet","IPG20N06S2L65AATMA1","Q2, Q3, Q4, Q5, Q6","PowerFlat 5x6","IPG20N06S2L65AATMA1","","5"
"Resistor","10k","R1, R2, R6, R7, R47, R56","R_0603","RC0603FR-0710KL","","6"
"Resistor","1k","R3, R9, R13, R16, R19, R22, R26, R28, R29, R32, R34","R_0603","RC0603FR-071KL","","11"
"Resistor","3.3k","R4, R8, R12, R15, R18, R21","R_0603","RC0603FR-073K3L","","6"
"Resistor","120","R5","R_0603","RC0603FR-07120RL","","1"
"Resistor","680","R10, R14, R17, R20, R23","R_0603","RC0603FR-07680RL","","5"
"Resistor","100k","R11, R57, R59","R_0603","RC0603JR-07100RL, RC0603FR-07100KL","","3"
"Resistor","100","R24, R25, R27, R30, R31, R33, R35, R36, R37, R38, R39, R40, R41, R42, R43, R53, R54, R55","R_0603","RC0603JR-07100RL","","18"
"Resistor","0.33","R44","R_1206","RL1206FR-070R33L","","1"
"Resistor","3.6k","R45","R_0603","RC0603FR-073K6L","","1"
"Resistor","1.2k","R46","R_0603","RC0603FR-071K2L","","1"
"Resistor","0","R48, R49, R50","R_0603","RC0603FR-070RL","","3"
"Resistor","4.7k","R51, R52","R_0603","RC0603FR-074K7L","","2"
"Resistor","1.5k","R58","R_0603","RC0603FR-071K5L","","1"
"Resistor","5.1k","R60, R61","R_0603","RC0603JR-075K1L","","2"
"Header, 5-Pin","PLS2-5","RLINK SWD1, SWD1","PLS-5-3D","PLS-5","","2"
"","STM32F76XZIT","U1","TQFP144_M","STM32F765ZGT","","1"
"","BC847B","U2","SOT23","BC847B","","1"
"CAN_transiever","SN65HVD232D","U3","SO-8_M","SN65HVD232D","","1"
"No Description Available","ST232CTR","U4","TSSOP16_STM","ST232CTR","","1"
"RS485 Full Duplex Convertor","MAX488CSA","U5","SO-8_M","MAX488CSA","ADM4855ARZ","1"
"RS485 Half Duplex Convertor","SN75176BDR","U6","SO-8","SN75176BDR","","1"
"4-Pin Phototransistor Optocoupler","TLP290","U7, U8, U9, U10, U11","SO4_1.27","TLP290","","5"
"4-Pin Phototransistor Optocoupler","CPC1008N","U12, U14, U15, U17, U18","SO4_2_54","CPC1008N","","5"
"Photovoltaic MOSFET Driver","VOM1271","U13, U16, U19, U20, U21","SOP-4","VOM1271","","5"
"Step-up/down IC","MC33063","U22","SO-8","MC33063","","1"
"","LD3985M33R","U23","SOT23-5","LD3985M33R","","1"
"Flash Memory","W25Q128JVEIQ","U24","W-PDFN-8 (MLP8) – 8mm ? 6mm  Se","W25Q128JVEIQ","","1"
"","STM32F103CBT6","U25","LQFP48_L","STM32F103CBT6","","1"
"17V Clamp 5A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-23-6","USBLC6-2SC6","U26","SOT95P280X145-6N","USBLC6-2SC6","","1"
"15EDGRHCM-THR-3.5-16P","15EDGRHCM-THR-3.5-16P","X1","DMC 1,5/ 8-G1F-3,5-LR P20THR / 1787072","15EDGRHCM-THR-3.5-16P","","1"
"15EDGRHCM-THR-3.5-24P","15EDGRHCM-THR-3.5-24P","X2","DMC 1,5/12-G1F-3,5-LRP20THRR72","15EDGRHCM-THR-3.5-24P","","1"
"USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS","TYPE-C-31-M-12","X3","HRO_TYPE-C-31-M-12","TYPE-C-31-M-12","","1"
"Crystal Oscillator","NX3225GD","XTAL1, XTAL3","NX3225GD","NX3225GD-8MHZ-EXS00A-CG05041","","2"
"Crystal Oscillator","NX3215SA-32.768K","XTAL2","XTAL_NX3215SA-32.768K-STD-MUA-8","NX3215SA-32.768K-10PPM-45KOHM-6PF","","1"
