Altium Designer Pick and Place Locations
\\Mac\Home\Yandex.Disk.localized\Development\Jobs\RHS\rPLC\robocontrloller-f7-miic-hardware\doc\pcb\Pick Place for PCB.txt

========================================================================================================================
File Design Information:

Date:       11/01/24
Time:       12:21
Revision:   97455ca739c39f2df4a68dc2b80b2118880d5d21
Variant:    No variations
Units used: mil

Designator   Comment               Layer    Footprint                              Center-X(mil) Center-Y(mil) Rotation Description                                                   
X3           TYPE-C-31-M-12        TopLayer HRO_TYPE-C-31-M-12                     3578.839      -1920.276     90       "USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"              
U26          USBLC6-2SC6           TopLayer SOT95P280X145-6N                       3338.189      -1920.276     0        "17V Clamp 5A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-23-6" 
R61          5.1k                  TopLayer R_0603                                 3383.858      -1806.102     270      Resistor                                                      
R60          5.1k                  TopLayer R_0603                                 3383.858      -2042.323     90       Resistor                                                      
C36          "47uF 35V"            TopLayer TANTAL_TYPE_X                          1675.197      -1857.284     90       "Tantal Capacitor"                                            
XTAL2        NX3215SA-32.768K      TopLayer XTAL_NX3215SA-32.768K-STD-MUA-8        1293.307      -510.827      90       "Crystal Oscillator"                                          
D1           BAT54                 TopLayer SOT23                                  1437.284      -584.646      0        Diode                                                         
C7           0.1uF                 TopLayer C_0603                                 1531.496      -550.197      270      Capacitor                                                     
BAT1         MS621                 TopLayer MS621                                  1436.024      -447.835      270      Battery                                                       
C6           "8pF 50V"             TopLayer C_0603                                 1276.575      -359.252      270      Capacitor                                                     
C5           "8pF 50V"             TopLayer C_0603                                 1316.929      -628.937      180      Capacitor                                                     
X1           15EDGRHCM-THR-3.5-16P TopLayer DMC_1,5/_8-G1F-3,5-LR_P20THR_/_1787072 3499.016      -860.236      270      15EDGRHCM-THR-3.5-16P                                         
U6           SN75176BDR            TopLayer SO-8                                   2720.472      -1011.811     0        "RS485 Half Duplex Convertor"                                 
U5           MAX488CSA             TopLayer SO-8_M                                 3165.765      -827.844      0        "RS485 Full Duplex Convertor"                                 
U4           ST232CTR              TopLayer TSSOP16_STM                            3241.142      -1272.795     90       "No Description Available"                                    
D3           SM712-02HTG           TopLayer SOT23                                  2943.189      -1000.000     0        ESD                                                           
C28          0.1uF                 TopLayer C_0603                                 2795.276      -870.079      0        Capacitor                                                     
C27          0.1uF                 TopLayer C_0603                                 2972.441      -830.709      90       Capacitor                                                     
C26          0.1uF                 TopLayer C_0603                                 3287.402      -1496.063     90       Capacitor                                                     
C25          0.1uF                 TopLayer C_0603                                 3169.291      -1496.063     90       Capacitor                                                     
C24          0.1uF                 TopLayer C_0603                                 3078.740      -1224.409     90       Capacitor                                                     
C23          0.1uF                 TopLayer C_0603                                 3228.347      -1496.063     90       Capacitor                                                     
C22          0.1uF                 TopLayer C_0603                                 3078.740      -1354.331     90       Capacitor                                                     
C39          "1uF 16V"             TopLayer C_0603                                 2889.764      -2153.543     180      Capacitor                                                     
C38          "10nF 16V"            TopLayer C_0603                                 2889.764      -2208.661     180      Capacitor                                                     
C37          "1uF 16V X5R"         TopLayer C_0603                                 2610.236      -2208.661     0        Capacitor                                                     
U23          LD3985M33R            TopLayer SOT23-5                                2755.884      -2159.449     0        ""                                                            
D6           SM5819PL-TP           TopLayer SOD-123                                3117.127      -2127.953     180      Diode                                                         
U24          W25Q128JVEIQ          TopLayer W-PDFN-8_(MLP8)_–_8MM_?_6MM__SE        1927.165      -1533.465     180      "Flash Memory"                                                
X2           15EDGRHCM-THR-3.5-24P TopLayer DMC_1,5/12-G1F-3,5-LRP20THRR72         246.063       -1181.102     90       15EDGRHCM-THR-3.5-24P                                         
SWD1         PLS2-5                TopLayer PLS-5-3D                               2069.685      -216.535      0        "Header, 5-Pin"                                               
U1           STM32F76XZIT          TopLayer TQFP144_M                              2023.622      -838.583      0        ""                                                            
U25          STM32F103CBT6         TopLayer LQFP48_L                               2742.126      -1692.913     0        ""                                                            
BUZ1         L-KLS3-SMT-09X1.8     TopLayer SPKR_PKMCS0909E4000-R1                 2952.756      -463.583      0        "Piezoelectric Sounders"                                      
C1           "8pF 50V"             TopLayer C_0603                                 1460.630      -888.288      0        Capacitor                                                     
C2           "8pF 50V"             TopLayer C_0603                                 1460.630      -969.488      0        Capacitor                                                     
C3           "100nF 16V"           TopLayer C_0603                                 1751.968      -275.591      270      Capacitor                                                     
C4           "100nF 16V"           TopLayer C_0603                                 1460.630      -1050.689     0        Capacitor                                                     
C8           "2.2uF 16V"           TopLayer C_0603                                 2551.181      -498.031      270      Capacitor                                                     
C9           "2.2uF 16V"           TopLayer C_0603                                 2318.898      -1356.299     0        Capacitor                                                     
